Tue Aug 25 17:18:29 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:18:50 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:19:23 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:19:47 2026 | 高活性分子: 58 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:20:36 2026 | 高活性分子: 60 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:20:57 2026 | 高活性分子: 60 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:21:17 2026 | 高活性分子: 60 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:21:44 2026 | 高活性分子: 61 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:22:16 2026 | 高活性分子: 61 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:22:33 2026 | 高活性分子: 61 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:22:56 2026 | 高活性分子: 62 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:23:10 2026 | 高活性分子: 62 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:23:20 2026 | 高活性分子: 62 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:23:42 2026 | 高活性分子: 62 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:24:07 2026 | 高活性分子: 62 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:24:32 2026 | 高活性分子: 63 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:24:49 2026 | 高活性分子: 64 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:25:12 2026 | 高活性分子: 64 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:25:34 2026 | 高活性分子: 64 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:26:11 2026 | 高活性分子: 66 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:26:54 2026 | 高活性分子: 66 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:31:21 2026 | 高活性分子: 66 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
