chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL3951618,COc1ccc(CNc2nc(N3CC4CC4C3)ncc2C(=O)N[C@H]2CC[C@H](O)CC2)cc1C,IC50,7.72,nM,8.11,-10.8
CHEMBL3918044,COc1ccc(C2CC(C(C)(C)C)=NN2c2ccc(C(=O)O)cc2)cc1,IC50,2020.0,nM,5.7,-7.5
CHEMBL3914590,CC(C)(C)C1=NN(c2ccc(C(=O)O)cc2)C(c2ccc([N+](=O)[O-])cc2)C1,IC50,5700.0,nM,5.24,-7.4
CHEMBL3937157,CC(C)C1=NN(c2ccc(C(=O)O)cc2)C(c2cccc([N+](=O)[O-])c2)C1,IC50,3200.0,nM,5.5,-8.6
CHEMBL3909240,COc1cc(C(=O)O)ccc1C1CC(C(C)(C)C)=NN1c1ccc(C(=O)O)cc1,IC50,23500.0,nM,4.63,-7.2
CHEMBL3323320,CC(C)(C)C1=NN(c2ccc(C(=O)O)cc2)C(c2ccc(O)cc2)C1,IC50,2100.0,nM,5.68,-8.1
CHEMBL3979746,COc1ccc(C2CC(c3ccccc3)=NN2c2ccc(C(=O)O)cc2)cc1,IC50,1200.0,nM,5.92,-8.9
CHEMBL3927064,COc1ccc(C2CC(c3ccccc3OC)=NN2c2ccc(C(=O)O)cc2)cc1,IC50,3200.0,nM,5.5,-8.2
CHEMBL3912685,COc1ccc(C2CC(c3cccc(OC)c3)=NN2c2ccc(C(=O)O)cc2)cc1,IC50,1800.0,nM,5.75,-9.1
CHEMBL3926786,COc1ccc(C2CC(c3ccc(OC)c(OC)c3)=NN2c2ccc(C(=O)O)cc2)cc1,IC50,6900.0,nM,5.16,-8.2
CHEMBL1370630,COc1ccc(C2CC(c3ccccc3)=NN2c2ccc(S(N)(=O)=O)cc2)cc1,IC50,3800.0,nM,5.42,-9.0
CHEMBL3906921,CC(C)(C)C1=NN(c2ccc(C(=O)O)cc2)C(c2ccccc2F)C1,IC50,3300.0,nM,5.48,-9.1
CHEMBL3963234,CC(C)(C)C1=NN(c2ccc(C(=O)O)cc2)C(c2cccc(F)c2)C1,IC50,2700.0,nM,5.57,-9.3
CHEMBL3918115,CC(C)(C)C1=NN(c2ccc(C(=O)O)cc2)C(c2ccccc2)C1,IC50,6220.0,nM,5.21,-9.2
CHEMBL3921118,CC(C)(C)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(c2ccc(F)cc2)C1,IC50,3300.0,nM,5.48,-8.0
CHEMBL3963184,CC(C)(C)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(c2ccc(Cl)cc2)C1,IC50,7200.0,nM,5.14,-8.0
CHEMBL3954425,COc1ccc(C2CC(c3ccc(F)cc3)=NN2c2ccc(C(=O)O)cc2)cc1,IC50,3100.0,nM,5.51,-9.5
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,36000.0,nM,4.44,-9.7
CHEMBL1628659,CN1C(=O)c2[nH]c(Cc3ccc(C(F)(F)F)cc3)nc2N2C1=N[C@@H]1CCC[C@@H]12,IC50,60.0,nM,7.22,-10.3
