chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL4280993,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(C)cc1N(C)CCN(C)C,IC50,2.7,nM,8.57,-9.459
CHEMBL4276965,COc1ccc(OC)c(Nc2cc(Nc3ccc(S(N)(=O)=O)cc3)ncn2)c1,IC50,467.0,nM,6.33,-8.005
CHEMBL4288300,COc1cccc(Nc2cc(Nc3cc(OC)ccc3OC)ncn2)c1,IC50,7.7,nM,8.11,-7.931
CHEMBL4280395,COc1ccc(OC)c(Nc2cc(Nc3ccc(F)cc3)ncn2)c1,IC50,208.0,nM,6.68,-8.251
CHEMBL4293690,COc1ccc(OC)c(Nc2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)c1,IC50,288.0,nM,6.54,-8.424
CHEMBL4283097,COc1ccc(OC)c(Nc2cc(NCCc3cccs3)ncn2)c1,IC50,102.0,nM,6.99,-7.192
CHEMBL4283517,COc1cc(Nc2cc(Nc3ccc(Cl)cc3)ncn2)cc(OC)c1OC,IC50,901.0,nM,6.04,-7.534
CHEMBL4286871,CCNc1cc(Nc2cccc(Cl)c2)ncn1,IC50,170.0,nM,6.77,-7.08
CHEMBL4288262,Clc1ccc(Nc2cc(Nc3cccc(Cl)n3)ncn2)cc1,IC50,229.0,nM,6.64,-8.343
CHEMBL4283823,COc1ccc(Nc2cc(NC(=O)c3ccccc3)ncn2)cc1,IC50,26.0,nM,7.58,-8.87
CHEMBL1379917,O=C(Nc1cc(N2CCOCC2)ncn1)c1ccc(F)cc1,IC50,63.0,nM,7.2,-8.448
CHEMBL4282460,O=C(O)CCCC(=O)Nc1cc(Nc2cccc(Cl)c2)ncn1,IC50,7.0,nM,8.15,-7.468
CHEMBL4290750,CCOC(=O)c1ccc(Nc2cc(NC(=O)CCCC(=O)O)ncn2)cc1,IC50,21.0,nM,7.68,-7.94
CHEMBL4282879,COc1ccc(OC)c(Nc2cc(NC(=O)CCCC(=O)O)ncn2)c1,IC50,68.0,nM,7.17,-7.626
CHEMBL4294156,COc1cccc(Nc2cc(NC(=O)CCCC(=O)O)ncn2)c1,IC50,12.0,nM,7.92,-7.839
CHEMBL4286263,O=C(O)CCCC(=O)Nc1cc(Nc2cccc(Br)c2)ncn1,IC50,70.0,nM,7.16,-8.31
CHEMBL4283970,O=C(O)CCCC(=O)Nc1cc(N2CCOCC2)ncn1,IC50,11.0,nM,7.96,-7.097
CHEMBL4283061,CCOC(=O)CCCC(=O)Nc1cc(Nc2cccc(Cl)c2)ncn1,IC50,27.0,nM,7.57,-7.049
CHEMBL4292110,CCOC(=O)c1ccc(Nc2cc(Nc3cccc(OC)c3)ncn2)cc1,IC50,1188.0,nM,5.92,-7.77
